"Name"."Localized_name"."Description"."Color"."Mode_color"."Color_policy"."Physical_pen_number"."Virtual_pen_number"."Screen"."Linepattern_size"."Linetype"."Adaptive_linetype"."Lineweight"."Fill_style"."End_style"."Join_style"
"Color_038","Color_38","Description_38","Color 7","0,0,0","none","38","38","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_039","Color_39","Description_39","Color 7","0,0,0","none","39","39","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_040","Color_40","Description_40","Color 7","0,0,0","none","40","40","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_041","Color_41","Description_41","Color 7","0,0,0","none","41","41","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_042","Color_42","Description_42","Color 7","0,0,0","none","42","42","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_043","Color_43","Description_43","Color 7","0,0,0","none","43","43","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_044","Color_44","Description_44","Color 7","0,0,0","none","44","44","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_045","Color_45","Description_45","Color 7","0,0,0","none","45","45","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_046","Color_46","Description_46","Color 7","0,0,0","none","46","46","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_047","Color_47","Description_47","Color 7","0,0,0","none","47","47","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_048","Color_48","Description_48","Color 7","0,0,0","none","48","48","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_049","Color_49","Description_49","Color 7","0,0,0","none","49","49","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_050","Color_50","Description_50","Color 2","255,255,0","none","30","50","100","0.5","(Object)","FALSE","0.0762","(Object)","(Object)","(Object)"
"Color_051","Color_51","Description_51","Color 7","0,0,0","none","51","51","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_052","Color_52","Description_52","Color 7","0,0,0","none","52","52","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_053","Color_53","Description_53","Color 7","0,0,0","none","53","53","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_054","Color_54","Description_54","Color 7","0,0,0","none","54","54","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_055","Color_55","Description_55","Color 7","0,0,0","none","55","55","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_056","Color_56","Description_56","Color 7","0,0,0","none","56","56","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_057","Color_57","Description_57","Color 7","0,0,0","none","57","57","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_058","Color_58","Description_58","Color 7","0,0,0","none","58","58","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_059","Color_59","Description_59","Color 7","0,0,0","none","59","59","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_060","Color_60","Description_60","Color 7","0,0,0","none","60","60","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_061","Color_61","Description_61","Color 7","0,0,0","none","61","61","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_062","Color_62","Description_62","Color 7","0,0,0","none","62","62","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_063","Color_63","Description_63","Color 7","0,0,0","none","63","63","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
